Date,APPLE INC. (XNAS:AAPL),JPMORGAN CHASE & CO. (XNYS:JPM),EXXON MOBIL CORPORATION (XNYS:XOM),PFIZER INC. (XNYS:PFE),THE PROCTER & GAMBLE COMPANY (XNYS:PG),"THE HOME DEPOT, INC. (XNYS:HD)",CATERPILLAR INC. (XNYS:CAT),"TESLA, INC. (XNAS:TSLA)",AT&T INC. (XNYS:T),AMERICAN TOWER CORPORATION (XNYS:AMT),Novo Nordisk A/S (XNYS:NVO),Sony Group Corporation (XNYS:SONY),Sap Se (XETR:SAP),BP P.L.C. (XNYS:BP),Nestle Ltd. (OTCM:NSRGY),YPF SA (XNYS:YPF),Vale SA (BVMF:VALE3),ICICI BANK LIMITED (XNYS:IBN),"Pacific Airport Group, S.A.B. de CV (XNYS:PAC)",PT Telkom Indonesia (Persero) Tbk (XNYS:TLK)
2/1/19,41.63,103.88,75.92,40.65,97.47,184.37,130.91,20.81,22.66,170.43,24.31,9.23,90.79,41.34,86.66,16.50,44.12,9.88,88.23,27.47
3/1/19,43.74,104.43,80.00,41.10,98.44,185.17,137.47,19.65,23.27,177.92,24.80,9.58,94.89,42.58,90.76,13.74,44.59,9.93,90.29,27.58
4/1/19,49.25,105.31,82.49,40.75,103.65,202.06,140.36,18.33,24.43,195.76,25.38,8.61,102.50,44.53,95.60,14.57,49.58,11.25,96.30,28.43
5/1/19,52.94,116.12,77.47,39.24,106.08,200.56,139.06,17.00,23.18,192.95,23.75,10.45,113.66,43.08,95.76,14.42,48.08,11.44,97.91,26.98
6/1/19,43.77,105.96,70.77,39.36,102.91,189.85,119.81,12.34,23.09,208.77,23.60,9.60,110.42,40.72,99.16,14.83,46.74,12.00,96.11,26.97
7/1/19,51.06,113.49,76.13,41.63,113.15,211.46,135.49,15.54,25.90,209.04,25.30,11.01,122.82,41.03,103.28,18.15,48.04,12.56,105.77,30.06
8/1/19,51.01,112.93,71.75,36.02,116.44,212.15,124.54,15.62,25.80,215.47,24.36,11.00,109.36,38.48,107.14,15.88,45.64,11.69,97.34,30.05
9/1/19,53.32,112.61,70.93,34.60,122.87,231.13,122.70,15.16,27.38,232.59,26.28,11.84,111.30,37.45,114.65,9.26,44.31,10.86,94.79,29.94
10/1/19,56.75,114.62,68.97,34.06,124.00,227.93,121.04,15.43,28.33,225.93,25.66,11.75,104.84,36.96,107.80,9.63,44.44,11.65,98.26,30.01
11/1/19,63.96,127.80,69.60,36.39,123.87,237.34,144.49,20.89,29.41,215.52,28.23,12.29,119.62,38.70,106.66,9.48,46.21,13.09,103.48,29.17
12/1/19,67.68,135.04,69.51,36.30,124.19,214.28,142.72,22.39,28.85,212.20,28.37,13.06,122.20,37.09,104.79,9.66,48.98,14.70,97.47,28.90
1/1/20,74.36,138.34,70.33,36.90,122.58,218.93,148.44,29.53,29.50,228.61,28.56,13.62,120.46,38.83,109.11,11.16,51.45,14.92,118.76,28.41
2/1/20,77.38,132.36,62.12,35.30,124.62,228.10,131.35,43.37,28.41,231.74,30.42,14.04,117.82,36.13,110.26,9.39,47.95,14.58,121.45,27.57
3/1/20,72.26,108.08,47.69,33.20,121.66,228.51,121.41,46.90,27.96,246.32,31.28,12.62,107.52,31.25,107.89,7.30,42.55,12.91,103.00,25.79
4/1/20,60.35,84.05,39.21,31.89,115.08,178.70,114.67,32.00,20.74,222.80,29.92,11.50,97.35,24.72,104.76,4.36,38.63,7.23,44.82,19.25
5/1/20,72.27,93.25,43.14,35.68,116.82,218.57,110.88,46.75,22.58,234.20,31.72,12.55,108.94,22.83,104.38,3.54,42.79,9.36,57.61,21.11
6/1/20,82.88,111.23,53.08,34.12,118.33,254.90,135.12,59.04,24.75,264.89,32.25,13.46,121.14,27.71,106.35,5.74,52.09,9.77,77.80,23.09
7/1/20,91.03,92.66,44.08,32.71,120.88,248.50,127.72,80.58,22.72,264.21,33.18,14.05,127.58,23.41,111.68,5.80,52.71,9.63,69.67,22.48
8/1/20,106.26,96.64,42.08,36.48,131.12,265.49,132.88,95.38,22.34,261.39,32.67,15.59,133.78,22.04,117.85,6.23,57.91,9.39,65.88,20.51
9/1/20,120.96,103.52,39.08,34.47,137.96,269.66,148.18,139.44,22.22,249.98,32.56,15.53,132.86,20.54,119.52,5.42,57.70,10.32,74.63,19.64
10/1/20,113.02,97.89,32.98,34.49,138.12,279.31,149.94,138.36,21.66,243.30,34.33,14.80,132.76,16.85,119.78,3.63,55.63,10.24,81.23,18.15
11/1/20,118.69,102.96,32.78,34.51,143.23,284.24,161.29,143.32,20.72,242.15,35.18,17.88,97.25,15.64,118.21,3.73,60.28,12.13,91.32,19.52
12/1/20,122.25,122.34,41.68,40.34,137.47,263.99,182.21,199.68,22.31,228.67,33.91,18.88,102.78,22.27,111.62,5.29,78.20,13.83,103.88,22.89
1/1/21,132.69,127.07,41.22,36.81,139.14,265.62,182.02,235.22,21.72,224.46,34.93,20.22,107.22,20.52,117.80,4.70,83.42,14.86,109.28,23.52
2/1/21,136.76,137.98,49.95,34.92,129.57,278.86,193.00,284.07,21.85,232.99,35.70,23.34,108.48,20.81,111.04,4.21,88.42,17.56,103.85,23.56
3/1/21,121.42,150.91,60.93,34.39,125.98,253.52,220.16,199.31,22.37,200.00,34.81,20.83,101.78,26.77,106.90,4.25,95.59,16.96,105.41,23.33
4/1/21,123.00,153.71,57.39,36.30,134.28,307.75,232.74,220.58,23.01,240.06,33.83,21.37,106.78,24.58,112.45,4.24,92.90,16.21,106.43,23.61
5/1/21,131.46,153.81,57.24,38.65,133.42,323.67,228.11,236.48,23.72,254.77,36.98,20.03,116.76,25.16,119.53,3.78,104.00,16.30,100.84,22.06
6/1/21,125.89,166.44,61.45,39.15,135.95,311.01,244.02,199.68,22.10,265.28,40.48,20.14,114.80,27.44,125.64,5.40,107.70,17.93,102.89,25.34
7/1/21,139.96,156.03,63.17,39.73,135.90,322.70,217.76,226.30,22.07,272.87,42.41,20.33,119.30,26.98,125.51,4.53,108.35,17.28,105.56,21.40
8/1/21,146.14,157.50,57.86,45.07,141.41,329.84,208.35,233.03,21.11,282.12,49.74,20.52,124.84,25.56,123.45,4.43,104.65,19.02,106.68,23.14
9/1/21,154.30,159.49,54.87,46.84,144.05,330.34,210.37,244.52,20.81,302.01,50.45,21.65,125.60,24.78,125.85,4.94,94.07,19.79,114.20,23.75
10/1/21,142.65,167.13,60.93,42.93,139.58,329.86,194.33,258.40,20.51,266.61,47.94,21.90,116.26,27.60,120.49,4.67,72.69,18.94,117.15,25.60
11/1/21,151.28,168.05,65.02,48.61,146.04,368.40,205.88,407.36,18.96,277.83,56.71,24.64,128.98,27.85,135.19,4.19,61.16,20.64,134.56,25.93
12/1/21,161.84,158.29,60.89,54.27,149.88,407.81,197.80,338.32,17.72,266.96,53.54,24.00,114.16,26.91,129.64,3.82,68.56,18.48,116.64,28.26
